hospital_name,staffed_beds,total_payments,copd_total,copd_ratio,ami_total,ami_ratio,pneumonia_total,pneumonia_ratio,hip_knee_total,hip_knee_ratio,hf_total,hf_ratio
CRAIG GENERAL HOSPITAL,62,2593164,300666,1.0057,,0.0000,644888,0.9832,,0.0000,373528,1.1025
BRADFORD REGIONAL MEDICAL CENTER,182,4132225,303781,1.0003,,1.0128,460269,0.9717,,0.9320,,0.9273
TITUSVILLE HOSPITAL,72,3273432,,1.0576,,0.0000,,0.9482,,0.9156,,1.0704
CANONSBURG GENERAL HOSPITAL,104,2788328,250776,0.9898,,0.0000,212237,0.9850,,1.0619,352208,1.0990
EXCELA HEALTH FRICK HOSPITAL,63,2654884,316232,1.0582,,0.0000,,1.0199,,0.0000,391843,1.0715
BAPTIST EASLEY HOSPITAL,89,8400370,601560,1.0317,,1.0194,,1.0249,,1.0261,,1.0801
GREER MEMORIAL HOSPITAL,,4664101,,0.9874,,0.0000,458022,1.0004,,0.7853,,0.9629
HILLCREST MEMORIAL HOSPITAL,,1953857,,0.9852,,0.0000,,0.9069,,0.9442,,1.0208
UNICOI COUNTY MEMORIAL HOSPITAL,94,1572470,,1.0135,,0.0000,303938,1.0725,,0.9745,,1.0325
TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER,0,2924142,352892,1.0169,,0.0000,721323,1.0431,,0.0000,472533,1.0478
WOODS MEMORIAL HOSPITAL,,1714897,263660,0.9491,,0.0000,314722,0.9560,,0.9709,173238,0.9876
NORTHCREST MEDICAL CENTER,109,4637884,669145,0.9546,,1.0097,982449,0.9934,,1.0255,,0.9307
HARDIN MEDICAL CENTER,122,2912115,,0.9508,,1.0180,539147,0.9499,,0.0000,,0.9994
RIVER PARK HOSPITAL,109,5293989,610374,1.0987,,0.0000,888523,0.9839,,0.9648,574881,1.0568
FRANKLIN WOODS COMMUNITY HOSPITAL,80,2506652,535288,1.0059,,0.0000,486214,0.8780,,0.0000,,0.9603
TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE,109,4894648,393330,0.9680,,0.0000,413310,1.0417,1165861,1.0109,,1.0115
EAST TEXAS MEDICAL CENTER JACKSONVILLE,38,2146481,,0.9252,,0.0000,,0.9872,,1.0183,314856,1.1054
LAKE WHITNEY MEDICAL CENTER,,838859,,0.9873,,0.0000,,1.0749,,0.0000,,1.0323
ETMC HENDERSON,0,2154820,341919,0.9872,,0.0000,,1.0465,,0.0000,286181,1.1082
CARE REGIONAL MEDICAL CENTER,75,2182952,328969,0.9250,,0.0000,,0.9465,,0.0000,,0.9033
STARR COUNTY MEMORIAL HOSPITAL,48,3095880,,0.9479,,0.9930,875100,1.1033,,0.0000,264218,1.0253
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER,0,3548152,,0.8659,,1.0102,,0.8845,,0.0000,,0.9661
EAST TEXAS MEDICAL CENTER - GILMER,35,975367,,0.9486,,0.0000,,0.9646,,0.0000,,0.9962
LDS HOSPITAL,243,5550183,,0.9880,,0.0000,,0.9099,,1.1601,,0.9949
ALTA VIEW HOSPITAL,71,2091562,,1.0133,,0.0000,,1.0152,,1.0369,,0.9797
JORDAN VALLEY MEDICAL CENTER,275,6011984,272856,1.0011,,0.9691,461948,0.9710,,1.1529,,0.9424
WELLMONT LEE REGIONAL MEDICAL CENTER,,3422281,572876,1.0663,,0.0000,,1.0140,,0.0000,,0.9969
CULPEPER REGIONAL HOSPITAL,70,8039642,305930,0.9430,,1.0389,490172,1.1774,,1.1902,734734,1.1532
WELLMONT MOUNTAIN VIEW REGIONAL MEDICAL CENTER,,1726187,324231,,,,,,,,,
WELLMONT LONESOME PINE HOSPITAL,0,2840601,300940,0.9553,,1.1220,266945,1.0912,,0.0000,234840,0.9882
FAIRMONT GENERAL HOSPITAL,,5798026,920994,0.9825,327516,0.9379,499991,0.9875,,1.0545,717226,1.0624
BLUEFIELD REGIONAL MEDICAL CENTER,137,9141408,880541,1.0159,,0.9385,743432,0.9981,,1.2090,866288,1.0008
CAMC TEAYS VALLEY HOSPITAL,,3346922,386559,1.0438,,0.0000,,0.9627,,1.0532,,1.0332
UW HLTH PARTNERS - WATERTOWN REGIONAL MEDICAL CTR,,3552960,,0.9637,,1.0112,,0.9318,,0.7889,,0.9462
CEDAR PARK REGIONAL MEDICAL CENTER,85,2716999,277532,0.9484,,0.0000,,1.0732,,1.1200,,0.9998
TEXAS HEALTH PRESBYTERIAN HOSPITAL ROCKWALL,0,3053693,304293,0.9901,,0.0000,351461,0.9184,,1.1420,420488,1.0558
NORTH METRO MEDICAL CENTER,78,1310339,188687,0.9724,,0.0000,311641,1.0800,,0.0000,,1.1857
DELANO REGIONAL MEDICAL CENTER,106,3642878,,0.9970,,0.0000,,0.9801,,1.1395,,0.9117
DODGE COUNTY HOSPITAL,45,1776070,267079,1.0298,,0.0000,301814,1.0400,,1.0115,,1.0545
PIEDMONT MOUNTAINSIDE HOSPITAL INC,52,4605002,390943,1.0232,210278,1.1071,512244,1.0433,,0.9255,580121,1.1140
RICHLAND MEMORIAL HOSPITAL,91,2529039,,1.1030,,1.0029,513286,1.1031,,0.0000,,1.1166
METHODIST HOSPITAL OF CHICAGO,145,10262496,,1.0391,,0.0000,387785,1.0268,,0.0000,,0.9385
HARRISBURG MEDICAL CENTER,64,2019767,217968,0.9658,,0.0000,808311,1.0518,,0.0000,280572,1.0198
NEWMAN REGIONAL HEALTH,47,3149068,338979,0.9109,,1.0329,390437,0.9104,,1.2138,305251,0.9056
MORTON COUNTY HOSPITAL,40,552510,,1.0411,,0.0000,,1.0913,,0.0000,,1.1026
LOGAN MEMORIAL HOSPITAL,75,2352763,775279,1.0214,,0.0000,,0.9229,,0.0000,369138,1.1294
"CLINTON COUNTY HOSPITAL, INC",42,1829411,284678,1.2202,,0.0000,,1.0968,,0.0000,,1.1575
ROCKCASTLE REG HOSPITAL & RESPIRATORY CARE CTR,,1263717,323176,1.0736,,0.0000,,1.0820,,0.0000,,1.0244
WESTLAKE REGIONAL HOSPITAL,74,1863216,,1.0948,,0.0000,663324,1.0778,,0.0000,,1.1827
SAVOY MEDICAL CENTER,180,1740791,,1.0938,,0.0000,622051,1.0599,,0.0000,396024,1.0345
BEAUREGARD MEMORIAL HOSPITAL,64,1926664,490960,1.0044,,0.0000,,1.0193,,0.0000,,1.0616
HOMER MEMORIAL HOSPITAL,60,2522227,265627,1.0112,,0.0000,,1.0306,,0.0000,560859,1.0075
LASALLE GENERAL HOSPITAL,49,1659826,,1.0897,,0.0000,334354,1.0821,,0.0000,,1.0281
THREE RIVERS HEALTH,60,1333077,,0.9838,,0.0000,,1.0402,,0.0000,,0.8980
MAPLE GROVE HOSPITAL,108,3976677,,0.9770,,0.0000,,1.0378,,1.0293,445560,1.0076
TISHOMINGO HEALTH SERVICES INC,0,1536290,235863,0.9341,,0.0000,470914,0.9009,,0.0000,,0.9417
CAMERON REGIONAL MEDICAL CENTER,51,3207402,459837,1.0321,,0.0000,561063,0.9765,,0.9694,408278,1.0283
NORTH VISTA HOSPITAL,177,7228930,667696,1.0695,,0.0000,,0.9528,,1.0594,,1.0883
GILA REGIONAL MEDICAL CENTER,68,2451444,,0.9682,,0.0000,,0.9698,,0.8202,,0.9354
"CHENANGO MEMORIAL HOSPITAL, INC",0,3654998,426866,0.9592,,0.9461,506330,0.8769,,1.0984,457264,1.0956
AURELIA OSBORN FOX MEMORIAL HOSPITAL,0,4834350,607447,1.0392,,1.0448,603595,0.9234,,0.9412,791508,1.1711
BERTRAND CHAFFEE HOSPITAL,103,268020,,0.9798,,0.0000,,1.1464,,0.0000,,0.9701
CLIFTON SPRINGS HOSPITAL AND CLINIC,214,1490701,,1.0079,,0.0000,398289,0.9812,,0.8702,,1.0331
THE MCDOWELL HOSPITAL,49,2896422,372261,0.8774,,0.0000,596816,1.0279,,0.0000,,1.0481
POMERENE HOSPITAL,41,887825,,0.9514,,0.0000,,0.8615,,0.9363,,1.0214
CHOCTAW MEMORIAL HOSPITAL,34,2909160,523437,0.9911,,0.0000,,1.0983,,0.0000,805049,1.0894
PROVIDENCE MILWAUKIE HOSPITAL,51,2215194,,0.9619,,0.0000,,0.9554,,0.8689,,0.9873
BROOKINGS HOSPITAL,128,1347880,,0.9900,,0.9527,346318,0.9528,,0.9168,,1.0137
GRANDVIEW MEDICAL CENTER,70,1863699,,0.9207,,0.9912,,0.9941,,0.0000,,0.9745
DECATUR COUNTY GENERAL HOSPITAL,40,1417690,200824,1.0440,,0.0000,,1.0247,,0.0000,,1.0503
CUMBERLAND RIVER HOSPITAL,36,732749,,1.0186,,0.0000,,1.0974,,0.0000,,1.0422
STONES RIVER HOSPITAL AND DEKALB COMMUNITY HOSP,0,1692514,,0.9283,,0.0000,,1.0415,,1.0180,,0.9400
(CLOSED) RIVERVIEW REGIONAL MEDICAL CENTER NORTH,,1353363,467270,,,,324439,,,,,
ROLLING PLAINS MEMORIAL HOSPITAL,39,1406046,388207,1.0224,,0.0000,,0.9399,,0.0000,,1.0352
TITUS REGIONAL MEDICAL CENTER,124,3732752,319708,0.9390,,0.0000,602727,0.9547,,1.0607,453021,0.9249
SCOTT & WHITE HOSPITAL BRENHAM,60,2498478,,0.9907,,0.9564,,1.0330,,0.8569,,0.9095
HILL REGIONAL HOSPITAL,95,1877369,354855,1.0065,,0.0000,279984,1.0193,,0.0000,306408,1.0503
HUNTSVILLE MEMORIAL HOSPITAL,96,4328688,440412,1.0145,,0.0000,442076,1.0256,,0.7663,398047,1.0670
PARKVIEW REGIONAL HOSPITAL,58,1248487,,1.0319,,0.0000,,0.9775,,0.0000,,1.0295
BOWIE MEMORIAL HOSPITAL,37,1072629,,0.9637,,0.0000,,1.0265,,0.0000,,1.0673
SEYMOUR HOSPITAL,27,647402,,0.9359,,0.0000,,1.0262,,0.0000,,0.9640
CUERO COMMUNITY HOSPITAL,45,1948832,185119,1.0993,,0.0000,,0.9535,,0.0000,378767,1.0761
HAMILTON GENERAL HOSPITAL,0,3066163,369768,1.0758,,0.0000,509283,1.0519,,0.0000,558153,1.0570
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,73,2781891,,0.9906,,0.0000,,1.0827,,1.0332,,1.0254
BUCHANAN GENERAL HOSPITAL,134,2433019,973027,1.0498,,0.0000,,0.9924,,0.0000,382733,1.0022
STONEWALL JACKSON MEM HOSP,,2596753,581844,1.1589,,0.0000,411225,1.2478,,0.8562,,1.0734
SUMMERSVILLE REGIONAL MEDICAL CENTER,101,1928388,492004,1.0314,,0.0000,492433,0.9024,,0.0000,248013,0.9638
ST CLARE HSPTL HLTH SVCS,,2837449,,1.0064,,0.0000,570675,0.9510,,0.9490,373328,0.8883
LAKE MARTIN COMMUNITY HOSPITAL,46,1141095,,1.0544,,0.0000,,1.0337,,0.0000,,0.9851
MARYVALE HOSPITAL,232,2106888,383948,1.0321,,0.0000,,0.9693,,0.0000,,0.9862
CARONDELET HEART AND VASCULAR INSTITUTE,,1948241,,1.0325,,1.0120,,0.9517,,0.0000,,0.9819
MAD RIVER COMMUNITY HOSPITAL,78,1626980,,0.9569,,0.0000,405369,0.9157,,0.0000,,0.9029
COMMUNITY HOSPITAL OF SAN BERNARDINO,347,5205289,,0.9841,,0.0000,,0.9797,,0.0000,,1.0327
COMMUNITY HOSPITAL OF HUNTINGTON PARK,81,1719357,371294,1.1211,,0.0000,,1.0587,,0.0000,,1.0222
SHARP CORONADO HOSPITAL AND HLTHCR CTR,181,2840129,,0.9821,,0.0000,,1.0166,,0.9775,,0.9952
KAISER FOUNDATION HOSPITAL - SOUTH BAY,229,1029946,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000
CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,114,1546072,,0.9861,,0.0000,,0.9340,,0.9661,,0.9799
BAPTIST MEDICAL CENTER - NASSAU,54,3406694,284770,0.9515,,0.0000,514172,0.9549,,0.0000,354355,0.8956
HUTCHESON MEDICAL CENTER,243,2652418,255575,0.9298,,0.0000,,0.8645,,0.0000,,0.9942
TANNER MEDICAL CENTER VILLA RICA,0,1920424,,1.0166,,0.0000,,1.0129,,0.0000,,0.9394
WELLSTAR PAULDING HOSPITAL,216,2156135,345553,1.0190,,0.0000,453063,1.0302,,1.1130,,1.0235
BARROW REGIONAL MEDICAL CENTER,56,2013738,437757,1.0360,,0.0000,,0.9229,,0.0000,,1.0232
EMORY-ADVENTIST HOSPITAL,0,1377322,,1.0143,,0.0000,,0.9972,,0.0000,,1.0246
ST JOSEPHS HOSPITAL,0,1754093,,1.0219,,0.0000,,1.0108,,0.0000,,0.9494
NORWEGIAN-AMERICAN HOSPITAL,170,8030142,508941,1.0742,,0.0000,,1.0565,,0.0000,489585,1.0406
INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC,52,1773548,305317,0.9577,,0.0000,,0.9692,,0.0000,,0.9751
FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE,99,7687201,283007,0.9593,,0.0000,,0.9478,,0.8561,,0.9284
PARKVIEW NOBLE HOSPITAL,31,1879618,436197,0.9914,,0.0000,332498,1.0742,,0.0000,343336,0.9951
ST VINCENT CARMEL HOSPITAL INC,150,4747591,,1.0597,,0.0000,,0.9519,,0.8614,,0.9863
MERCY HOSPITAL-FORT SCOTT,59,2022142,219060,0.9444,,0.0000,,0.9582,,0.0000,281460,0.9463
VIA CHRISTI HOSPITAL WICHITA ST TERESA INC,,2263293,,1.0209,,0.0000,398310,1.0535,,0.9507,,1.0386
CRITTENDEN HEALTH SYSTEM,48,2225077,485906,1.1299,,0.0000,290869,1.0338,,0.0000,251556,1.0568
FRANKFORT REGIONAL MEDICAL CENTER,122,7730084,626096,0.9588,,1.0000,523646,1.0263,,0.8762,735779,1.0543
WASHINGTON ST TAMMANY  REGIONAL MEDICAL CENTER,,2300391,231548,1.0190,,0.0000,329779,1.0352,,0.0000,300225,1.0065
OCHSNER MEDICAL CENTER-KENNER LLC,115,4761186,,0.9605,,0.9496,,1.0043,,0.9719,,1.0648
BAYSTATE MARY LANE HOSPITAL,25,1772245,273007,0.9075,,0.0000,,0.9732,,0.0000,,0.9619
MEMORIAL HEALTHCARE,165,4841523,535175,0.9728,,0.9889,589688,0.9691,,0.8513,357496,0.8396
BUFFALO HOSPITAL,44,2250823,252300,0.9307,,0.0000,287487,1.0184,,1.0311,,1.0460
FAIRVIEW NORTHLAND REGIONAL HOSPITAL,39,1613972,,0.9607,,0.0000,,0.9494,,0.9644,,0.9740
GEORGE COUNTY HOSPITAL,43,1504358,222221,1.0534,,0.0000,,1.0448,,0.0000,,0.9280
BAPTIST MEMORIAL HOSPITAL BOONEVILLE,66,2417372,560246,0.9575,,0.0000,358883,0.9896,,0.0000,,1.0447
NORTHEAST REGIONAL MEDICAL CENTER,115,9188454,,1.0187,,0.0000,,0.9111,,0.9852,,1.0210
MISSOURI BAPTIST HOSPITAL SULLIVAN,,1921977,,,,,,,,,,
BELTON REGIONAL MEDICAL CENTER,71,1941668,,0.9697,,0.0000,,0.9984,,0.9661,,0.9868
PROGRESS WEST HEALTHCARE CENTER,,2133394,,1.0967,,1.1045,,0.9562,,1.0485,,1.0822
LOVELACE WOMEN'S HOSPITAL,162,1123912,,0.9711,,0.0000,,0.9761,,1.0754,,0.9343
LOVELACE WESTSIDE HOSPITAL,71,1343939,,1.0232,,0.0000,,0.9814,,0.9160,,0.9778
WYOMING COUNTY COMMUNITY HOSPITAL,262,1024904,352093,0.9702,,0.0000,,1.0580,,0.0000,,1.0055
ADIRONDACK MEDICAL CENTER,155,4784997,,0.9439,,0.9850,363547,1.0411,,0.8977,,1.0664
JONES MEMORIAL HOSPITAL,70,2203345,,1.0407,,1.0050,192353,0.9834,,0.0000,,1.0042
ONEIDA HEALTHCARE CENTER,261,2473511,352876,0.9877,,0.0000,,0.9647,,0.9973,282948,1.0438
ST JAMES MERCY HOSPITAL,253,2417297,,0.9479,,1.0238,,0.9986,,0.0000,,0.9687
ANSON COMMUNITY HOSPITAL,0,1330542,,0.9579,,0.9398,,1.0336,,0.0000,,1.0447
PERSON MEMORIAL HOSPITAL,102,3265353,353159,1.0852,,0.0000,630487,0.9952,,1.0969,435751,0.9710
GRAND LAKE HEALTH SYSTEM,0,2761929,252669,0.9050,,0.9799,,0.9855,,0.9425,492575,1.0208
VAN WERT COUNTY HOSPITAL,61,1748516,,0.9838,,0.9706,423569,0.9059,,0.9828,,0.8888
MEMORIAL HOSPITAL OF UNION COUNTY,60,2307195,357873,1.0236,,0.0000,,0.9954,,0.9393,412241,1.0132
SOUTHWEST REGIONAL MEDICAL CENTER,47,3742301,365124,0.9653,,0.0000,436442,0.9635,,0.0000,349794,0.9831
W W HASTINGS INDIAN HOSPITAL,52,637416,,0.9708,,0.0000,,1.0018,,0.0000,,0.9567
SAINT FRANCIS HOSPITAL SOUTH,0,2887906,,1.0806,,0.9862,300445,1.0607,,0.9878,322552,0.9815
PROVIDENCE NEWBERG MEDICAL CENTER,40,1429739,,0.9972,,0.0000,,1.0469,,0.9642,,0.8681
UPMC BEDFORD MEMORIAL,49,1382841,,0.9872,,0.0000,,0.9957,,0.0000,,0.9547
"MEMORIAL HOSPITAL, INC  TOWANDA",111,1725504,,1.0479,,0.0000,630912,1.0120,,0.0000,,1.0389
VILLAGE HOSPITAL,0,1940577,,0.9745,,0.0000,,0.9831,,0.8457,,0.9715
WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL,0,1200495,,1.0283,,0.0000,,0.9795,,0.0000,,1.0033
TAKOMA REGIONAL HOSPITAL,100,1760268,,0.9040,,0.0000,,1.0214,,0.0000,,0.9756
JELLICO COMMUNITY HOSPITAL,54,2381301,460435,0.9822,,0.0000,545855,1.1278,,0.0000,,1.0727
PAMPA REGIONAL MEDICAL CENTER,45,2289027,,1.0079,,0.0000,315305,0.9638,,0.9581,299357,1.0211
TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE,31,2151836,257510,0.9692,,0.0000,360664,0.9818,,0.0000,,0.9302
MATAGORDA REGIONAL MEDICAL CENTER,58,3299008,,1.0209,,0.9185,311376,0.9872,,0.0000,510524,0.9372
RUSSELL COUNTY MEDICAL CENTER,69,3285733,927520,1.1295,,0.0000,694125,1.2123,,0.0000,294078,1.1519
BON SECOURS RICHMOND COMMUNITY HOSPITAL,0,2997771,,0.9595,,0.0000,,0.0000,,0.0000,,1.0054
CARILION TAZEWELL COMMUNITY HOSPITAL,56,1222189,303871,0.9953,,0.0000,359552,1.0559,,0.0000,,1.0175
WILLIAMSON MEMORIAL HOSPITAL,76,2784731,1058473,1.2489,,0.0000,342512,1.0329,,0.0000,,1.0986
CAMPBELL COUNTY MEMORIAL HOSPITAL,215,2748937,507556,1.0290,,0.0000,,0.9426,,0.8696,,1.0772
ST MARKS MEDICAL CENTER,44,2543594,,0.9280,,0.0000,274078,1.0034,,1.0398,,0.9932
"ST LUKE'S HOSPITAL AT THE VINTAGE, LLC",,1334005,,1.0222,,0.0000,,0.9685,,0.0000,,0.9548
CRENSHAW COMMUNITY HOSPITAL,49,744563,236891,0.9839,,0.0000,,0.9926,,0.0000,,1.0284
CHEROKEE MEDICAL CENTER,45,828159,200616,0.9267,,0.0000,,0.9729,,0.0000,,0.9759
MARION REGIONAL MEDICAL CENTER,0,979247,279896,0.9684,,0.0000,302694,0.9288,,0.0000,,0.9498
ST VINCENTS BLOUNT,,797574,271931,0.0000,,0.0000,,0.0000,,0.0000,,0.0000
GROVE HILL MEMORIAL HOSPITAL,33,1191801,282414,0.9159,,0.0000,,0.9393,,0.0000,268317,0.9956
PICKENS COUNTY MEDICAL CENTER,50,1959920,,1.0549,,0.0000,515422,0.9429,,0.0000,,1.0612
TROY REGIONAL MEDICAL CENTER,97,2144408,316933,1.0361,,0.0000,,1.0352,,1.0132,,1.0686
NORTH BALDWIN INFIRMARY,70,851490,224564,0.9969,,0.0000,,0.9577,,0.0000,,1.0424
ST VINCENT'S ST CLAIR,40,1567459,,0.9985,,0.0000,516738,1.1518,,0.0000,314716,0.9530
JACKSONVILLE MEDICAL CENTER,,1533188,233274,1.0732,,0.0000,,1.0366,,0.0000,,0.9735
ARIZONA REGIONAL MEDICAL CENTER,,2812714,,1.0127,,1.0065,,1.0194,,0.0000,,0.9753
BANNER IRONWOOD MEDICAL CENTER,53,497954,,0.9958,,0.0000,,0.9976,,0.0000,,0.9889
MENA REGIONAL HEALTH SYSTEM,65,1704753,462489,0.8962,,0.0000,,0.9752,,0.0000,,0.9769
SUMMIT MEDICAL CENTER,103,1010274,335339,1.1475,,0.0000,,1.0892,,0.9645,169160,1.0419
FORREST CITY MEDICAL CENTER,70,856924,,0.9681,,0.0000,,1.0419,,0.0000,,1.0542
CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,199,5908660,,0.9736,,0.0000,,0.9823,,0.9898,,1.0522
OAK VALLEY DISTRICT HOSPITAL,150,520027,,0.9981,,0.0000,,0.9637,,0.0000,,1.0672
HAZEL HAWKINS MEMORIAL HOSPITAL,171,3304122,,1.1016,,0.0000,,1.0437,,0.0000,527641,1.0105
VICTOR VALLEY COMMUNITY HOSPITAL,,3232027,403291,0.9637,,0.0000,,0.9522,,0.9501,,1.0841
MEMORIAL HOSPITAL LOS BANOS,46,3092853,,0.9956,,0.0000,,1.0316,,0.0000,,1.0360
BELLFLOWER MEDICAL CENTER,,4309901,,0.9364,,0.0000,,0.9590,,0.0000,,0.9558
SUTTER DAVIS HOSPITAL,48,2102311,,0.9426,,0.0000,,0.9766,,1.0480,,0.9401
FOOTHILL PRESBYTERIAN HOSPITAL,105,4792182,349308,0.9789,,1.0376,,1.0235,,0.8911,572178,0.8425
EAST LOS ANGELES DOCTORS HOSPITAL,127,3545026,,0.9826,,1.0507,,1.0098,,0.0000,,1.0121
GREATER EL MONTE COMMUNITY HOSPITAL,117,4854134,,1.0366,,0.0000,,1.0434,,0.0000,,1.0352
MONTCLAIR HOSPITAL MEDICAL CENTER,102,5041980,,1.0619,,1.0150,,0.9610,,0.0000,,1.0326
SILVER LAKE MEDICAL CENTER,211,16902785,1253154,0.9638,,0.0000,,0.9146,,0.0000,,1.0310
EXEMPLA SAINT JOSEPH HOSPITAL,0,3988697,,0.9682,,1.0561,,0.9684,,0.9621,,0.9938
TWIN CITIES HOSPITAL,59,2852982,337897,0.8861,,0.0000,241927,1.0286,,1.0629,,0.9840
FLORIDA HOSPITAL CARROLLWOOD,120,3658485,253667,0.9910,,0.0000,,0.9701,,1.0316,,1.0014
HEALTHMARK REGIONAL MEDICAL CENTER,50,1259365,314377,0.9909,,0.0000,,1.1551,,0.0000,,1.0061
DOCTOR'S MEMORIAL HOSPITAL INC,48,1183096,,1.0045,,0.0000,,1.0000,,0.9399,,0.9639
COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR,140,273307,,1.0396,,0.0000,,0.9549,,0.0000,,0.9433
BERRIEN COUNTY HOSPITAL,147,199861,,0.9816,,0.0000,,1.0380,,0.0000,,1.0354
EVANS MEMORIAL HOSPITAL,49,1155673,,1.0156,,0.0000,,0.9716,,0.0000,,1.0965
SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,40,1662773,,0.9807,,0.0000,,0.9829,,0.9925,,0.9798
CHESTATEE REGIONAL HOSPITAL,48,2435267,,1.0072,,0.0000,,1.0165,,1.1846,314310,1.0209
FANNIN REGIONAL HOSPITAL,50,2983044,446015,0.9425,,0.0000,455907,0.9811,,1.2826,359155,1.0535
COLISEUM NORTHSIDE HOSPITAL,103,5223927,,0.9784,,0.0000,,0.9998,1332780,0.9276,294784,0.9637
NORTH GEORGIA MEDICAL CENTER,140,869036,,1.0565,,0.0000,,0.9676,,0.0000,,1.0914
GRAHAM HOSPITAL ASSOCIATION,99,3912431,503528,1.0867,,0.0000,,1.0665,,1.1018,421952,1.0917
SHELBY MEMORIAL HOSPITAL,30,1366163,237200,1.0516,,0.0000,,0.9378,,0.0000,344833,0.9777
IROQUOIS MEMORIAL HOSPITAL,84,2195651,,0.9525,,0.9974,,0.9256,,0.9270,,0.9657
FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,42,1577876,240471,0.9505,,0.0000,,0.9374,,1.2380,,0.9912
PARKVIEW HUNTINGTON HOSPITAL,36,1951253,379206,0.9114,,0.0000,,1.0448,,0.9349,390975,0.9556
PARKVIEW WHITLEY HOSPITAL,112,1241038,241877,1.0284,,0.0000,319651,0.9844,,0.0000,,0.9711
INDIANA UNIVERSITY HEALTH STARKE HOSPITAL,50,796092,225327,0.9312,,0.0000,336192,1.0151,,0.0000,,1.0764
DUPONT HOSPITAL LLC,0,1329757,165324,0.9873,,0.0000,,0.9320,,1.0397,,0.9953
FRANCISCAN PHYSICIANS HOSPITAL LLC,,363681,,0.9964,,0.0000,,0.9718,,0.9481,,0.9209
KENTUCKIANA MEDICAL CENTER LLC,34,1774298,,1.0037,,1.0726,,1.0253,,0.0000,,1.0832
TRINITY MUSCATINE,0,1991248,,0.9696,,0.0000,383850,1.0240,,0.0000,,1.0229
GRINNELL REGIONAL MEDICAL CENTER,49,1260892,,0.9603,,0.0000,,0.9703,,1.0179,,0.9715
SAINT JOHN HOSPITAL,74,1380834,222064,0.9842,,0.0000,,1.0514,,0.0000,,0.9710
SUSAN B ALLEN MEMORIAL HOSPITAL,63,3007164,250730,1.1768,,0.0000,440077,1.1443,,0.9692,,1.0085
COFFEY COUNTY HOSPITAL,62,1785973,,1.0335,,0.0000,,1.0928,,0.9507,,0.9109
CUSHING MEMORIAL HOSPITAL,,1358352,,1.0207,,0.0000,,0.9711,,0.0000,,0.9989
WESTERN PLAINS MEDICAL COMPLEX,60,1986345,,0.9152,,0.9692,,0.9010,,1.0158,,0.8987
MUHLENBERG COMMUNITY HOSPITAL,85,2738028,572533,1.0774,,0.0000,,0.9786,,1.0285,,0.9572
BOURBON COMMUNITY HOSPITAL,58,963809,168193,1.0215,,0.0000,,1.0445,,0.0000,,0.9485
WILLIAMSON ARH HOSPITAL,,3952824,1280934,1.2364,,0.0000,,1.1397,,0.0000,465261,1.1808
AVOYELLES HOSPITAL,51,2802331,,1.0138,,0.0000,,1.0808,,0.0000,493910,1.1595
OAKDALE COMMUNITY HOSPITAL,60,1470239,,0.9978,,0.0000,,0.9646,,0.0000,332152,1.0126
DESOTO REGIONAL HEALTH SYSTEM,38,997094,296476,1.0367,,0.0000,,1.1397,,0.0000,,1.1123
RICHARDSON MEDICAL CENTER,38,703271,,1.0206,,0.0000,,1.0409,,0.0000,,1.0227
PARKVIEW ADVENTIST MEDICAL CENTER,55,992452,182707,0.9913,,0.0000,,0.9568,,0.9924,,0.9984
INLAND HOSPITAL,46,1634852,,1.0065,,0.9384,410263,0.9008,,0.9237,,0.9246
GARRETT COUNTY MEMORIAL HOSPITAL,39,4923625,443783,1.0644,,0.9809,,0.8975,,0.8436,746136,1.0841
DOCTORS' HOSPITAL OF MICHIGAN,77,2457953,389075,0.9912,,0.0000,,1.0003,,1.0558,,0.9917
SOUTH HAVEN COMMUNITY HOSPITAL,29,591513,,0.9662,,0.0000,,0.9406,,0.9937,,0.9445
STURGIS HOSPITAL,49,2035577,293084,0.9643,,0.0000,367066,0.9110,,1.0578,,0.9020
HURON MEDICAL CENTER,0,3029604,,1.0180,,0.9935,,1.0289,,0.8481,,0.9538
OWATONNA HOSPITAL,40,2561448,,1.0273,,1.0721,,0.9538,,1.2028,397254,0.9477
TRACE REGIONAL HOSP AND SWING BED,120,796314,261559,1.0058,,0.0000,,1.0531,,0.0000,,1.0224
MONTFORT JONES MEMORIAL HOSPITAL,72,1783216,237734,0.0000,,0.0000,423465,0.0000,,0.0000,346556,0.0000
