hospital_name,city,state,staffed_beds,total_discharges,patient_days,gross_patient_revenue
HOSPITAL SAN GERARDO,Rio Piedras,Puerto Rico,94,2080,13201,33261
HOSPITAL SANTA ROSA,Guayama,Puerto Rico,89,3226,11318,18519
MAYAGUEZ MEDICAL CENTER,Mayaguez,Puerto Rico,182,9741,63165,131997
RYDER MEMORIAL HOSPITAL,Humacao,Puerto Rico,227,7435,41287,80625
SAINT LUKE'S MEMORIAL HOSPITAL,Ponce,Puerto Rico,334,19080,104076,209967
SAN JUAN BAUTISTA MEDICAL CENTER,Caguas,Puerto Rico,138,7083,42845,76068
SAN JUAN MUNICIPAL HOSPITAL,San Juan,Puerto Rico,167,4716,29991,81197
SAN JUAN VA MEDICAL CENTER,San Juan,Puerto Rico,0,0,0,
UNIVERSITY DISTRICT HOSPITAL,San Juan,Puerto Rico,248,10190,77126,110782
UNIVERSITY OF PUERTO RICO HOSPITAL,Carolina,Puerto Rico,210,9260,58432,102382
WILMA N VAZQUEZ MEDICAL CENTER,Vega Baja,Puerto Rico,150,3266,21326,34558
KENT HOSPITAL,Warwick,Rhode Island,343,13404,71834,975450
LANDMARK MEDICAL CENTER ,Woonsocket,Rhode Island,141,6016,28104,401273
MEMORIAL HOSPITAL OF RHODE ISLAND,Pawtucket,Rhode Island,150,4769,20140,310382
NEWPORT HOSPITAL,Newport,Rhode Island,129,4177,18689,245402
OUR LADY OF FATIMA HOSPITAL,North Providence,Rhode Island,278,4331,19861,382972
PROVIDENCE VA MEDICAL CENTER,Providence,Rhode Island,0,0,0,
RHODE ISLAND HOSPITAL,Providence,Rhode Island,700,32284,166128,2734738
ROGER WILLIAMS MEDICAL CENTER,Providence,Rhode Island,166,6654,24915,391351
SOUTH COUNTY HOSPITAL,Wakefield,Rhode Island,91,5618,18012,318697
THE MIRIAM HOSPITAL,Providence,Rhode Island,247,15006,61513,1357216
THE WESTERLY HOSPITAL,Westerly,Rhode Island,51,2920,11602,199642
WOMEN & INFANTS HOSPITAL,Providence,Rhode Island,247,11583,74809,832629
AIKEN REGIONAL MEDICAL CENTERS,Aiken,South Carolina,244,10162,45864,634828
ANMED HEALTH MEDICAL CENTER,Anderson,South Carolina,387,18715,91382,2049090
BAPTIST EASLEY,Easley,South Carolina,89,4336,19313,354717
BARNWELL COUNTY HOSPITAL,Barnwell,South Carolina,30,467,1258,23393
BEAUFORT MEMORIAL HOSPITAL,Beaufort,South Carolina,195,7980,37910,481814
BON SECOURS SAINT FRANCIS HOSPITAL,Charleston,South Carolina,189,8879,36780,659799
CANNON MEMORIAL HOSPITAL,Pickens,South Carolina,42,754,3032,83511
CAROLINA PINES REGIONAL MEDICAL CENTER,Hartsville,South Carolina,116,5656,17056,410608
CAROLINAS HOSPITAL SYSTEM,Florence,South Carolina,408,12301,64920,1342709
CAROLINAS HOSPITAL SYSTEM - MARION,Mullins,South Carolina,186,2746,10404,170892
CHESTER REGIONAL MEDICAL CENTER,Chester,South Carolina,182,1644,4806,121117
CHESTERFIELD GENERAL HOSPITAL,Cheraw,South Carolina,59,1804,6505,132661
CLARENDON MEMORIAL HOSPITAL,Manning,South Carolina,47,1499,10141,137360
COASTAL CAROLINA HOSPITAL,Hardeeville,South Carolina,41,1824,6733,144073
COLLETON MEDICAL CENTER,Walterboro,South Carolina,135,4075,17386,274347
CONWAY MEDICAL CENTER,Conway,South Carolina,256,7852,31859,454633
EAST COOPER MEDICAL CENTER,Mount Pleasant,South Carolina,120,4819,17806,445444
GAFFNEY MEDICAL CENTER,Gaffney,South Carolina,125,2585,10846,159471
GEORGETOWN MEMORIAL HOSPITAL,Georgetown,South Carolina,131,4377,18394,356563
GRAND STRAND REGIONAL MEDICAL CENTER,Myrtle Beach,South Carolina,263,16263,74589,1405268
GREENVILLE HEALTH SYSTEM LAURENS COUNTY MEMORIAL HOSPITAL,Clinton,South Carolina,90,3039,11960,229410
GREENVILLE MEMORIAL HOSPITAL,Greenville,South Carolina,814,37937,203707,3003388
GREER MEMORIAL HOSPITAL,Greer,South Carolina,58,3573,13011,290036
HAMPTON REGIONAL MEDICAL CENTER,Varnville,South Carolina,32,655,2548,53143
HILLCREST MEMORIAL HOSPITAL,Simpsonville,South Carolina,43,1973,6477,218576
HILTON HEAD REGIONAL MEDICAL CENTER,Hilton Head,South Carolina,93,4973,20557,387320
KERSHAW COUNTY MEDICAL CENTER,Camden,South Carolina,219,4828,21860,318501
LAKE CITY COMMUNITY HOSPITAL,Lake City,South Carolina,28,755,2887,58367
LEXINGTON MEDICAL CENTER,West Columbia,South Carolina,396,20061,111503,2465357
MARLBORO PARK HOSPITAL,Bennettsville,South Carolina,102,1300,3777,82132
MARY BLACK HEALTH SYSTEM,Spartanburg,South Carolina,181,6479,28043,731624
MCLEOD DARLINGTON,Darlington,South Carolina,72,156,719,34578
MCLEOD DILLON,Dillon,South Carolina,63,3148,9687,170485
MCLEOD LORIS,Loris,South Carolina,243,4027,17598,355359
MCLEOD REGIONAL MEDICAL CENTER,Florence,South Carolina,493,22020,126794,2006778
MCLEOD SEACOAST,Little River,South Carolina,0,0,0,
MEDICAL UNIVERSITY OF SOUTH CAROLINA - ASHLEY RIVER TOWER,Charleston,South Carolina,0,0,0,
MEDICAL UNIVERSITY OF SOUTH CAROLINA - UNIVERSITY HOSPITAL,Charleston,South Carolina,718,32533,183396,2827696
MONCRIEF ARMY COMMUNITY HOSPITAL,Fort Jackson,South Carolina,0,0,0,
NAVAL HOSPITAL BEAUFORT,Beaufort,South Carolina,0,0,0,
NEWBERRY COUNTY MEMORIAL HOSPITAL,Newberry,South Carolina,90,2049,8093,140621
OCONEE MEDICAL CENTER,Seneca,South Carolina,249,6149,26036,338045
PALMETTO HEALTH BAPTIST,Columbia,South Carolina,367,12872,76050,1142673
PALMETTO HEALTH BAPTIST PARKRIDGE,Columbia,South Carolina,0,0,0,
PALMETTO HEALTH HEART HOSPITAL,Columbia,South Carolina,0,0,0,
PALMETTO HEALTH RICHLAND,Columbia,South Carolina,671,31727,179973,2666326
PATEWOOD MEMORIAL HOSPITAL,Greenville,South Carolina,78,1192,2472,306859
PELHAM MEDICAL CENTER,Greer,South Carolina,48,1688,5843,124150
PIEDMONT MEDICAL CENTER,Rock Hill,South Carolina,288,13253,62492,682304
PROVIDENCE HOSPITAL,Columbia,South Carolina,314,10526,51423,721818
PROVIDENCE HOSPITAL NORTHEAST,Columbia,South Carolina,0,0,0,
RALPH H. JOHNSON VA MEDICAL CENTER,Charleston,South Carolina,0,0,0,
REGIONAL MEDICAL CENTER OF ORANGEBURG & CALHOUN COUNTIES,Orangeburg,South Carolina,276,9952,47518,756070
ROPER HOSPITAL,Charleston,South Carolina,368,12000,55961,1175145
ROPER ST. FRANCIS MOUNT PLEASANT HOSPITAL,Mount Pleasant,South Carolina,85,1516,5014,138503
SAINT FRANCIS DOWNTOWN,Greenville,South Carolina,338,17066,76971,2260116
SAINT FRANCIS EASTSIDE,Greenville,South Carolina,0,0,0,
SELF REGIONAL HEALTHCARE,Greenwood,South Carolina,322,11285,56060,955902
SPARTANBURG REGIONAL MEDICAL CENTER,Spartanburg,South Carolina,477,23841,139844,1772808
SPRINGS MEMORIAL HOSPITAL,Lancaster,South Carolina,193,5837,23532,720728
SUMMERVILLE MEDICAL CENTER,Summerville,South Carolina,0,0,0,
TRIDENT MEDICAL CENTER,Charleston,South Carolina,404,20734,88536,2088878
TUOMEY REGIONAL MEDICAL CENTER,Sumter,South Carolina,247,11355,60369,620890
WACCAMAW COMMUNITY HOSPITAL,Murrells Inlet,South Carolina,167,6795,28046,413254
WALLACE THOMSON HOSPITAL,Union,South Carolina,59,2179,10105,106908
WILLIAM JENNINGS BRYAN DORN VA MEDICAL CENTER,Columbia,South Carolina,0,0,0,
AVERA SAINT MARY'S HEALTHCARE CENTER,Pierre,South Dakota,83,2109,5469,105058
ABERDEEN AREA INDIAN HEALTH SERVICE,Aberdeen,South Dakota,45,1241,3586,
AVERA HEART HOSPITAL OF SOUTH DAKOTA,Sioux Falls,South Dakota,53,2487,9635,211570
AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,Sioux Falls,South Dakota,545,21601,102387,1770613
AVERA QUEEN OF PEACE HOSPITAL,Mitchell,South Dakota,172,2227,8798,187625
AVERA SACRED HEART HOSPITAL,Yankton,South Dakota,293,3325,13181,202612
AVERA SAINT LUKE'S HOSPITAL,Aberdeen,South Dakota,270,3848,16612,312092
BLACK HILLS SURGICAL HOSPITAL,Rapid City,South Dakota,26,1403,3720,148134
BROOKINGS HOSPITAL,Brookings,South Dakota,128,1080,3545,70233
CHEYENNE RIVER HEALTH SERVICE,Eagle Butte,South Dakota,8,219,726,
DAKOTA PLAINS SURGERY CENTER,Aberdeen,South Dakota,15,346,978,32926
LEWIS & CLARK SPECIALTY HOSPITAL,Yankton,South Dakota,10,200,648,24116
PINE RIDGE HOSPITAL,Pine Ridge,South Dakota,0,0,0,
PRAIRIE LAKES HOSPITAL,Watertown,South Dakota,81,4087,11996,139257
RAPID CITY REGIONAL HOSPITAL,Rapid City,South Dakota,394,15603,89011,916074
ROSEBUD HOSPITAL,Rosebud,South Dakota,35,1190,2557,
SAME DAY SURGERY CENTER,Rapid City,South Dakota,6,81,120,23203
SANFORD ABERDEEN MEDICAL CENTER,Aberdeen,South Dakota,48,1360,5123,58490
SANFORD ABERDEEN MEDICAL CENTER,Aberdeen,South Dakota,0,0,0,
SANFORD USD MEDICAL CENTER SIOUX FALLS,Sioux Falls,South Dakota,488,25703,110575,2163591
SIOUX FALLS SPECIALTY HOSPITAL,Sioux Falls,South Dakota,35,1458,3221,206821
SIOUX FALLS VA MEDICAL CENTER,Sioux Falls,South Dakota,0,0,0,
SIOUX SAN INDIAN HOSPITAL,Rapid City,South Dakota,28,55,333,
SIOUXLAND SURGERY CENTER,Dakota Dunes,South Dakota,40,1293,3710,161762
SPEARFISH REGIONAL HOSPITAL,Spearfish,South Dakota,35,1509,4373,75845
SPEARFISH REGIONAL SURGERY CENTER,Spearfish,South Dakota,4,58,152,13043
VA BLACK HILLS HEALTH CARE SYSTEM - FORT MEADE CAMPUS,Fort Meade,South Dakota,0,0,0,
VA BLACK HILLS HEALTH CARE SYSTEM - HOT SPRINGS CAMPUS,Hot Springs,South Dakota,0,0,0,
BAPTIST MEMORIAL HOSPITAL - COLLIERVILLE,Collierville,Tennessee,0,0,0,
BAPTIST MEMORIAL HOSPITAL - COLLIERVILLE,Collierville,Tennessee,81,2501,11190,109860
BAPTIST MEMORIAL HOSPITAL - HUNTINGDON,Huntingdon,Tennessee,70,515,1690,44254
BAPTIST MEMORIAL HOSPITAL - MEMPHIS,Memphis,Tennessee,799,31078,202770,2324704
BAPTIST MEMORIAL HOSPITAL - TIPTON,Covington,Tennessee,100,1338,4399,277601
BAPTIST MEMORIAL HOSPITAL - UNION CITY,Union City,Tennessee,85,1868,7534,130239
BAPTIST MEMORIAL HOSPITAL FOR WOMEN,Memphis,Tennessee,140,12250,36273,128972
BAPTIST MEMORIAL HOSPITAL FOR WOMEN,Memphis,Tennessee,0,0,0,
BAPTIST REHABILITATION - GERMANTOWN,Germantown,Tennessee,68,14,0,51043
BLOUNT MEMORIAL HOSPITAL,Maryville,Tennessee,308,11251,48602,747055
BOLIVAR GENERAL HOSPITAL,Bolivar,Tennessee,33,226,600,21977
BRISTOL REGIONAL MEDICAL CENTER,Bristol,Tennessee,299,13687,62356,781831
CLAIBORNE COUNTY HOSPITAL AND NURSING HOME,Tazewell,Tennessee,176,1404,5353,81794
COOKEVILLE REGIONAL MEDICAL CENTER,Cookeville,Tennessee,243,12791,57642,512955
CUMBERLAND MEDICAL CENTER,Crossville,Tennessee,157,4912,22385,257065
CUMBERLAND RIVER HOSPITAL,Celina,Tennessee,36,379,1877,21530
DECATUR COUNTY GENERAL HOSPITAL,Parsons,Tennessee,40,602,1971,15441
DEKALB COMMUNITY HOSPITAL,Smithville,Tennessee,52,1011,3102,48819
DELTA MEDICAL CENTER,Memphis,Tennessee,243,1529,8200,125968
DYERSBURG REGIONAL MEDICAL CENTER,Dyersburg,Tennessee,95,3759,12291,454307
ERLANGER BARONESS,Chattanooga,Tennessee,530,26524,143680,1561513
ERLANGER EAST,Chattanooga,Tennessee,0,0,0,
ERLANGER HOSPITAL - EAST/WOMEN'S EAST CAMPUS,Chattanooga,Tennessee,28,1950,5302,9495
ERLANGER NORTH,Chattanooga,Tennessee,0,0,0,
FORT LOUDOUN MEDICAL CENTER,Lenoir City,Tennessee,40,1734,6406,88268
FORT SANDERS REGIONAL MEDICAL CENTER,Knoxville,Tennessee,386,13967,74039,897711
FRANKLIN WOODS COMMUNITY HOSPITAL,Johnson City,Tennessee,80,4157,17004,274227
GATEWAY MEDICAL CENTER,Clarksville,Tennessee,281,11089,43132,773222
GRANDVIEW MEDICAL CENTER,Jasper,Tennessee,70,1129,3838,115855
HARDIN MEDICAL CENTER,Savannah,Tennessee,122,1586,6132,110356
HARTON REGIONAL MEDICAL CENTER,Tullahoma,Tennessee,133,5175,22685,496608
HAWKINS COUNTY MEMORIAL HOSPITAL,Rogersville,Tennessee,39,1265,3270,190569
HEALTHSOUTH CHATTANOOGA REHABILITATION HOSPITAL,Chattanooga,Tennessee,69,0,0,22994
HENDERSON COUNTY COMMUNITY HOSPITAL,Lexington,Tennessee,36,483,1411,79827
HENRY COUNTY MEDICAL CENTER,Paris,Tennessee,114,3194,13170,188168
HERITAGE MEDICAL CENTER,Shelbyville,Tennessee,60,1835,5544,165628
HIGHLANDS MEDICAL CENTER,Sparta,Tennessee,42,1083,3177,105298
HOLSTON VALLEY MEDICAL CENTER,Kingsport,Tennessee,435,18140,82210,1017198
HUMBOLDT MEDICAL CENTER,Humboldt,Tennessee,42,124,478,18868
INDIAN PATH MEDICAL CENTER,Kingsport,Tennessee,168,5846,23845,484947
JACKSON-MADISON COUNTY GENERAL HOSPITAL,Jackson,Tennessee,635,27054,147256,1416285
JAMES H. QUILLEN VA MEDICAL CENTER,Mountain Home,Tennessee,0,0,0,
JAMESTOWN REGIONAL MEDICAL CENTER,Jamestown,Tennessee,85,1742,5496,97257
JEFFERSON MEMORIAL HOSPITAL,Jefferson City,Tennessee,58,2135,7441,159602
JELLICO COMMUNITY HOSPITAL,Jellico,Tennessee,54,1509,4756,64457
JOHNSON CITY MEDICAL CENTER,Johnson City,Tennessee,583,27864,143989,2000461
LAFOLLETTE MEDICAL CENTER,LaFollette,Tennessee,164,2221,9845,229318
LAKEWAY REGIONAL HOSPITAL,Morristown,Tennessee,135,2708,10429,330079
LAUGHLIN MEMORIAL HOSPITAL,Greeneville,Tennessee,230,3724,14179,179954
LECONTE MEDICAL CENTER,Sevierville,Tennessee,123,3887,14848,229520
LINCOLN MEDICAL CENTER,Fayetteville,Tennessee,59,1657,6121,84794
LIVINGSTON REGIONAL HOSPITAL,Livingston,Tennessee,114,2147,9409,137549
MAURY REGIONAL MEDICAL CENTER,Columbia,Tennessee,234,13956,47480,694721
MCKENZIE REGIONAL HOSPITAL,McKenzie,Tennessee,30,1265,3991,93733
MCNAIRY REGIONAL HOSPITAL,Selmer,Tennessee,28,1065,3295,97589
MEMORIAL HOSPITAL,Chattanooga,Tennessee,400,24778,112541,1690645
MEMORIAL NORTH PARK HOSPITAL,Hixson,Tennessee,78,2940,11445,68716
MEMPHIS VA MEDICAL CENTER,Memphis,Tennessee,0,0,0,
METHODIST FAYETTE HOSPITAL,Somerville,Tennessee,38,176,630,25194
METHODIST LE BONHEUR GERMANTOWN HOSPITAL,Germantown,Tennessee,0,0,0,
METHODIST MEDICAL CENTER OF OAK RIDGE,Oak Ridge,Tennessee,210,10387,48257,519552
METHODIST NORTH HOSPITAL,Memphis,Tennessee,0,0,0,
METHODIST SOUTH HOSPITAL,Memphis,Tennessee,0,0,0,
METHODIST UNIVERSITY HOSPITAL,Memphis,Tennessee,1336,61666,351377,5222077
MILAN GENERAL HOSPITAL,Milan,Tennessee,47,242,1002,26640
MORRISTOWN-HAMBLEN HOSPITAL,Morristown,Tennessee,136,6776,26032,306548
NASHVILLE GENERAL HOSPITAL AT MEHARRY,Nashville,Tennessee,114,3494,16854,227753
NEWPORT MEDICAL CENTER,Newport,Tennessee,92,2664,8199,146256
NORTH KNOXVILLE MEDICAL CENTER,Powell,Tennessee,0,0,0,
NORTHCREST MEDICAL CENTER,Springfield,Tennessee,109,3842,15027,221214
PARKRIDGE EAST HOSPITAL,Chattanooga,Tennessee,0,0,0,
PARKRIDGE MEDICAL CENTER,Chattanooga,Tennessee,481,15012,86697,1303344
PARKWEST MEDICAL CENTER,Knoxville,Tennessee,434,20304,103874,926188
PERRY COMMUNITY HOSPITAL,Linden,Tennessee,33,459,2367,17241
PHYSICIANS REGIONAL MEDICAL CENTER,Knoxville,Tennessee,635,21862,97333,1598129
REGIONAL HOSPITAL OF JACKSON,Jackson,Tennessee,115,5457,22359,680511
REGIONAL MEDICAL CENTER AT MEMPHIS,Memphis,Tennessee,306,12612,83751,1259156
RIVER PARK HOSPITAL,McMinnville,Tennessee,109,3129,10259,212925
RIVERVIEW REGIONAL MEDICAL CENTER,Carthage,Tennessee,63,1159,3445,64329
ROANE MEDICAL CENTER,Harriman,Tennessee,61,1719,7401,87154
SAINT FRANCIS HOSPITAL,Memphis,Tennessee,467,13591,78074,1476801
SAINT FRANCIS HOSPITAL - BARTLETT,Bartlett,Tennessee,156,6856,35156,615637
SAINT THOMAS HOSPITAL FOR SPINAL SURGERY,Nashville,Tennessee,0,0,0,
SAINT THOMAS MIDTOWN HOSPITAL,Nashville,Tennessee,441,23080,112716,1347842
SAINT THOMAS RUTHERFORD HOSPITAL ,Murfreesboro,Tennessee,286,16239,68953,853885
SAINT THOMAS SURGICAL HOSPITAL,Nashville,Tennessee,23,982,1461,109636
SAINT THOMAS WEST HOSPITAL,Nashville,Tennessee,498,21158,94279,1563444
SKYRIDGE MEDICAL CENTER - MAIN CAMPUS,Cleveland,Tennessee,0,0,0,
SKYRIDGE MEDICAL CENTER - WESTSIDE CAMPUS,Cleveland,Tennessee,197,8694,39904,898839
SOUTHERN TENNESSEE MEDICAL CENTER-WINCHESTER,Winchester,Tennessee,198,4130,16243,324198
SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM-LAWRENCEBURG,Lawrenceburg,Tennessee,89,1775,6104,137528
SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM-PULASKI,Pulaski,Tennessee,95,1420,4392,103515
SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM-WINCHESTER/SEWANEE CAMPUS,Sewanee,Tennessee,0,0,0,
STARR REGIONAL MEDICAL CENTER - ATHENS,Athens,Tennessee,106,2414,9988,215861
STARR REGIONAL MEDICAL CENTER - ETOWAH,Etowah,Tennessee,160,899,3083,63786
STONES RIVER HOSPITAL,Woodbury,Tennessee,52,500,1689,22941
SUMNER REGIONAL MEDICAL CENTER,Gallatin,Tennessee,155,6654,26027,449925
SWEETWATER HOSPITAL ASSOCIATION,Sweetwater,Tennessee,59,2207,10468,222370
SYCAMORE SHOALS HOSPITAL,Elizabethton,Tennessee,121,3100,12259,206530
TAKOMA REGIONAL HOSPITAL,Greeneville,Tennessee,100,2003,7438,166018
TRENTON MEDICAL CENTER,Trenton,Tennessee,41,96,321,13286
TRISTAR CENTENNIAL,Nashville,Tennessee,657,24409,127134,2485183
TRISTAR HENDERSONVILLE MEDICAL CENTER,Hendersonville,Tennessee,96,5888,22233,534775
TRISTAR HORIZON MEDICAL CENTER,Dickson,Tennessee,134,4212,16973,331036
TRISTAR SKYLINE MADISON CAMPUS,Madison,Tennessee,230,4149,19412,71062
TRISTAR SKYLINE MEDICAL CENTER,Nashville,Tennessee,317,12316,66084,1139321
TRISTAR SOUTHERN HILLS MEDICAL CENTER,Nashville,Tennessee,85,3884,15956,437024
TRISTAR STONECREST MEDICAL CENTER,Smyrna,Tennessee,109,5109,18531,419608
TRISTAR SUMMIT MEDICAL CENTER,Hermitage,Tennessee,188,10507,45395,854296
TURKEY CREEK MEDICAL CENTER,Knoxville,Tennessee,107,5475,22660,305217
UNICOI COUNTY MEMORIAL HOSPITAL,Erwin,Tennessee,94,1056,4212,34309
UNITED REGIONAL MEDICAL CENTER,Manchester,Tennessee,54,1037,3388,36133
UNIVERSITY MEDICAL CENTER,Lebanon,Tennessee,245,5881,23760,643878
UNIVERSITY OF TENNESSEE MEDICAL CENTER,Knoxville,Tennessee,538,24353,143629,2032508
VA TENNESSEE VALLEY HEALTHCARE SYSTEM - NASHVILLE CAMPUS,Nashville,Tennessee,0,0,0,
VANDERBILT UNIVERSITY HOSPITAL,Nashville,Tennessee,956,49969,278506,5763047
VOLUNTEER COMMUNITY HOSPITAL,Martin,Tennessee,65,1681,5846,154711
WAYNE MEDICAL CENTER,Waynesboro,Tennessee,32,530,1946,32163
WILLIAMSON MEDICAL CENTER,Franklin,Tennessee,185,8079,35239,460094
ABILENE REGIONAL MEDICAL CENTER,Abilene,Texas,205,6699,29835,726739
ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE,Kilgore,Texas,60,157,846,32304
ANGLETON DANBURY MEDICAL CENTER,Angleton,Texas,62,2166,6315,84683
ANSON GENERAL HOSPITAL,Anson,Texas,21,230,1478,6924
AUDIE L. MURPHY MEMORIAL VA HOSPITAL,San Antonio,Texas,0,0,0,
AUSTIN SURGICAL HOSPITAL,Austin,Texas,23,910,2056,115088
BAPTIST EMERGENCY HOSPITAL HAUSMAN,San Antonio,Texas,0,0,0,
BAPTIST EMERGENCY HOSPITAL HAUSMAN,San Antonio,Texas,0,0,0,
BAPTIST EMERGENCY HOSPITAL OVERLOOK,San Antonio,Texas,0,0,0,
BAPTIST EMERGENCY HOSPITAL SCHERTZ,Schertz,Texas,0,0,0,
BAPTIST EMERGENCY HOSPITAL WESTOVER HILLS,San Antonio,Texas,0,0,0,
BAPTIST EMERGENCY HOSPITAL- THOUSAND OAKS,San Antonio,Texas,42,470,926,236558
BAPTIST HOSPITALS OF SOUTHEAST TEXAS - BEAUMONT CAMPUS,Beaumont,Texas,383,13975,67733,1015296
BAPTIST HOSPITALS OF SOUTHEAST TEXAS - ORANGE CAMPUS,Orange,Texas,75,1885,6838,130144
BAPTIST MEDICAL CENTER,San Antonio,Texas,1422,65709,293175,5301738
BAPTIST SAINT ANTHONY'S HOSPITAL,Amarillo,Texas,446,21247,88382,1181534
BASIN HEALTHCARE CENTER,Odessa,Texas,14,135,371,74256
BAY AREA REGIONAL MEDICAL CENTER,Webster,Texas,0,0,0,
BAYLOR ALL SAINTS MEDICAL CENTER AT FORT WORTH,Fort Worth,Texas,396,23144,94670,928414
BAYLOR EMERGENCY MEDICAL CENTER AT AUBREY,Aubrey,Texas,0,0,0,
BAYLOR EMERGENCY MEDICAL CENTER AT AUBREY,Aubrey,Texas,16,40,96,28243
BAYLOR JACK AND JANE HAMILTON HEART AND VASCULAR HOSPITAL,Dallas,Texas,50,2215,8254,330159
BAYLOR MEDICAL CENTER AT CARROLLTON,Carrollton,Texas,115,6359,27360,355856
BAYLOR MEDICAL CENTER AT FRISCO,Frisco,Texas,68,4454,18585,309564
BAYLOR MEDICAL CENTER AT GARLAND,Garland,Texas,227,9727,40719,569585
BAYLOR MEDICAL CENTER AT IRVING,Irving,Texas,198,10125,49803,588471
BAYLOR MEDICAL CENTER AT MCKINNEY,McKinney,Texas,92,4782,19912,254481
BAYLOR MEDICAL CENTER AT TROPHY CLUB,Trophy Club,Texas,20,675,1677,97203
BAYLOR MEDICAL CENTER AT UPTOWN,Dallas,Texas,24,880,2128,99001
BAYLOR MEDICAL CENTER AT WAXAHACHIE,Waxahachie,Texas,57,3070,12011,219991
BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON,Arlington,Texas,24,1121,3024,149403
BAYLOR REGIONAL MEDICAL CENTER AT GRAPEVINE,Grapevine,Texas,314,11370,54849,613687
BAYLOR REGIONAL MEDICAL CENTER AT PLANO,Plano,Texas,160,5964,30383,459479
BAYLOR SCOTT AND WHITE MEDICAL CENTER HILLCREST,Waco,Texas,331,14577,51304,794868
BAYLOR SURGICAL HOSPITAL AT FORT WORTH,Fort Worth,Texas,34,1070,2651,184354
BAYLOR SURGICAL HOSPITAL AT LAS COLINAS,Irving,Texas,20,507,1031,80641
BAYLOR UNIVERSITY MEDICAL CENTER AT DALLAS,Dallas,Texas,869,34455,230605,2438583
BAYSHORE MEDICAL CENTER,Pasadena,Texas,413,19501,100296,2032379
BEAUMONT BONE & JOINT INSTITUTE,Beaumont,Texas,6,1,1,35835
BELLVILLE SAINT JOSEPH HEALTH CENTER,Bellville,Texas,0,0,0,
BELLVILLE ST. JOSEPH HEALTH CENTER,Bellville,Texas,32,208,754,16480
BEN TAUB GENERAL HOSPITAL,Houston,Texas,727,34408,191083,3005919
BOWIE MEMORIAL HOSPITAL,Bowie,Texas,37,603,2774,31062
BRAZOSPORT REGIONAL HEALTH SYSTEM,Lake Jackson,Texas,95,5426,16452,308201
BROWNFIELD REGIONAL MEDICAL CENTER,Brownfield,Texas,26,799,2949,20539
BROWNWOOD REGIONAL MEDICAL CENTER,Brownwood,Texas,141,4226,18364,340437
CARE REGIONAL MEDICAL CENTER,Aransas Pass,Texas,75,1016,4705,63806
CARL R. DARNALL ARMY MEDICAL CENTER,Fort Hood,Texas,0,0,0,
CEDAR PARK REGIONAL MEDICAL CENTER,Cedar Park,Texas,85,4034,14977,387953
CENTENNIAL MEDICAL CENTER,Frisco,Texas,118,4080,18733,364542
CENTRAL TEXAS MEDICAL CENTER,San Marcos,Texas,178,4522,16764,334301
CENTRAL TEXAS VETERANS HEALTH CARE SYSTEM - OLIN E. TEAGUE VETERANS' CENTER,Temple,Texas,0,0,0,
CHI SAINT LUKE'S COMMUNITY MEDICAL CENTER - THE WOODLANDS,The Woodlands,Texas,184,10937,46188,744134
CHI SAINT LUKE'S HEALTH LAKESIDE HOSPITAL,The Woodlands,Texas,30,871,1954,149823
CHI SAINT LUKE'S HEALTH-BAYLOR SAINT LUKE'S MEDICAL CENTER,Houston,Texas,679,25846,168044,3028170
CHI SAINT LUKE'S HOSPITAL AT THE VINTAGE,Houston,Texas,78,3233,14105,252732
CHI ST. LUKE'S PATIENTS MEDICAL CENTER,South Pasadena,Texas,61,3914,18926,323177
CHI ST. LUKE'S SUGAR LAND HOSPITAL,Sugar Land,Texas,78,3027,12923,234494
CHILDRESS REGIONAL MEDICAL CENTER,Childress,Texas,39,872,3070,40559
CHRISTUS HOSPITAL - SAINT ELIZABETH,Beaumont,Texas,464,20104,92971,1470712
CHRISTUS HOSPITAL - SAINT MARY,Port Arthur,Texas,240,7704,30861,269343
CHRISTUS JASPER MEMORIAL HOSPITAL,Jasper,Texas,50,1819,6187,98612
CHRISTUS SAINT MICHAEL HEALTH SYSTEM,Texarkana,Texas,376,14782,66305,956972
CHRISTUS SANTA ROSA HOSPITAL,San Antonio,Texas,456,19275,93969,1565493
CHRISTUS SANTA ROSA HOSPITAL - MEDICAL CENTER,San Antonio,Texas,0,0,0,
CHRISTUS SANTA ROSA HOSPITAL - NEW BRAUNFELS,New Braunfels,Texas,0,0,0,
CHRISTUS SPOHN HOSPITAL ALICE,Alice,Texas,107,3524,11703,260551
CHRISTUS SPOHN HOSPITAL BEEVILLE,Beeville,Texas,41,2096,7257,143892
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI - MEMORIAL,Corpus Christi,Texas,768,33733,183082,2708703
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI - SHORELINE,Corpus Christi,Texas,0,0,0,
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI - SOUTH,Corpus Christi,Texas,0,0,0,
